anio,mes,municipio_id,municipio_nombre,monto
2010,2,06035,Avellaneda,135210.95
2010,2,06042,Ayacucho,17754.89
2010,2,06049,Azul,38772.56
2010,2,06056,Bahía Blanca,130582.51
2010,2,06063,Balcarce,35206.38
2010,2,06070,Baradero,28529.3
2010,2,06084,Benito Juárez,17223.79
2010,2,06091,Berazategui,135817.99
2010,2,06098,Berisso,59866.1
2010,2,06105,Bolívar,23976.72
2010,2,06112,Bragado,28984.54
2010,2,06119,Brandsen,23749.1
2010,2,06126,Campana,61080.11
2010,2,06134,Cañuelas,33764.73
2010,2,06140,Capitán Sarmiento,17906.65
2010,2,06147,Carlos Casares,16996.14
2010,2,06154,Carlos Tejedor,19196.54
2010,2,06161,Carmen de Areco,22610.99
2010,2,06168,Castelli,17527.27
2010,2,06210,Chacabuco,29819.19
2010,2,06218,Chascomús,22914.48
2010,2,06224,Chivilcoy,30502.07
2010,2,06182,Coronel de Marina Leonardo Rosales,31336.69
2010,2,06175,Colón,22914.48
2010,2,06189,Coronel Dorrego,16313.26
2010,2,06196,Coronel Pringles,22990.35
2010,2,06203,Coronel Suárez,28377.54
2010,2,06231,Daireaux,23293.85
2010,2,06238,Dolores,28225.78
2010,2,06245,Ensenada,36496.28
2010,2,06252,Escobar,92872.16
2010,2,06260,Esteban Echeverría,146212.99
2010,2,06266,Exaltación de la Cruz,36723.88
2010,2,06270,Ezeiza,83311.77
2010,2,06274,Florencio Varela,198643.3
2010,2,06277,Florentino Ameghino,14492.23
2010,2,06280,General Alvarado,30274.42
2010,2,06287,General Alvear,17906.65
2010,2,06294,General Arenales,15630.37
2010,2,06301,General Belgrano,22535.09
2010,2,06308,General Guido,6601.14
2010,2,06315,General Juan Madariaga,20638.2
2010,2,06322,General la Madrid,19500.06
2010,2,06329,General las Heras,31109.07
2010,2,06336,General Lavalle,14264.61
2010,2,06343,General Paz,17072
2010,2,06351,General Pinto,16920.27
2010,2,06357,General Pueyrredón,203120.02
2010,2,06364,General Rodríguez,55996.42
2010,2,06371,General San Martín,155242.26
2010,2,06385,General Viamonte,21700.44
2010,2,06392,General Villegas,27391.15
2010,2,06399,Guaminí,13050.57
2010,2,06406,Hipólito Yrigoyen,13202.34
2010,2,06408,Hurlingham,75268.9
2010,2,06410,Ituzaingó,77014.08
2010,2,06412,José C. Paz,164423.26
2010,2,06413,Junín,52581.99
2010,2,06420,La Costa,51747.36
2010,2,06427,La Matanza,489248.48
2010,2,06441,La Plata,192042.11
2010,2,06434,Lanús,153648.85
2010,2,06448,Laprida,16389.12
2010,2,06455,Las Flores,22838.55
2010,2,06462,Leandro N. Alem,13961.11
2010,2,06469,Lincoln,28908.67
2010,2,06476,Lobería,22610.99
2010,2,06483,Lobos,30805.57
